"País","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Libia",NA,18.4680004119873,NA,18.4680004119873,2380602
"Liechtenstein",NA,NA,NA,NA,NA
"Lituania",NA,6.14699983596802,NA,6.14699983596802,1472661
"Luxemburgo",NA,5.58500003814697,NA,5.58500003814697,302721
"Macedonia del Norte",NA,20.7360000610352,NA,20.7360000610352,959864
"Madagascar",74.80432,1.68900001049042,3.23481,1.68900001049042,13409202
"Malasia",94.85441,3.34999990463257,4.53477,3.34999990463257,15381536
"Malawi",NA,5.62200021743774,4.71484,5.62200021743774,7799084
"Maldivas",NA,5.84899997711182,NA,5.84899997711182,283491
"Malí",35.47377,7.1100001335144,NA,7.1100001335144,7086706
"Malta",94.50319,3.71600008010864,NA,3.71600008010864,235579
"Mariana",NA,NA,NA,NA,NA
"Marruecos",73.75001,9.07800006866455,NA,9.07800006866455,11918297
"Mauricio",91.32539,6.65700006484985,4.83459,6.65700006484985,608753
"Mauritania",NA,9.46399974822998,NA,9.46399974822998,1210148
"México",95.37991,3.28299999237061,NA,3.28299999237061,56253063
"mezcla de la AIF",67.0462,5.35891883681089,3.882415,5.35891883681089,192745669
"Micronesia (Estados Federados de)",NA,NA,NA,NA,NA
"Miembros OCDE",NA,5.44359048573321,NA,5.44359048573321,670979824
"Mónaco",NA,NA,NA,NA,NA
"Mongolia",98.42312,6.25400018692017,NA,6.25400018692017,1319351
"Montenegro",98.84718,15.1750001907349,NA,15.1750001907349,277016
"Mozambique",NA,3.23699998855591,5.59847,3.23699998855591,12772428
"Mundo",86.30101,5.39220596924458,NA,5.39220596924458,3427111807
"Myanmar",NA,1.49399995803833,1.9726,1.49399995803833,24470007
"Namibia",91.52727,19.8770008087158,NA,19.8770008087158,911498
"Nauru",NA,NA,NA,NA,NA
"Nepal",67.90843,1.35000002384186,5.16365,1.35000002384186,16359487
"Nicaragua",NA,5.19999980926514,NA,5.19999980926514,2992406
"Níger",NA,0.470999985933304,4.9198,0.470999985933304,8111179
"Nigeria",62.01601,8.24300003051758,NA,8.24300003051758,58403811
"No clasificado",NA,NA,NA,NA,NA
"Noruega",NA,3.79999995231628,NA,3.79999995231628,2799958
"Nueva Caledonia",NA,12.8470001220703,NA,12.8470001220703,138742
"Nueva Zelandia",NA,4.2979998588562,NA,4.2979998588562,2721966
"Omán",95.65153,2.86400008201599,NA,2.86400008201599,2701563
"Oriente Medio y Norte de África",78.96279,10.1371864006738,NA,10.1371864006738,150094614
"Oriente Medio y Norte de África (BIRF y la AIF)",75.72189,11.7498484790056,NA,11.7498484790056,115672391
"Oriente Medio y Norte de África (excluido altos ingresos)",75.9596,11.9005267110987,NA,11.9005267110987,116886513
"Otros Estados pequeos",84.52881,9.16758838130518,NA,9.16758838130518,14039596
"Países Bajos",NA,3.82999992370605,NA,3.82999992370605,9227941
"Países de ingreso bajo",63.18397,4.88143611615016,3.23481,4.88143611615016,253290828
"Países de ingreso mediano bajo",77.24338,5.13222713646325,4.08329,5.13222713646325,1092712177
"Países menos desarrollados: clasificación de las Naciones Unidas",64.81693,4.35561715889316,4.03814,4.35561715889316,411064442
"Países pobres muy endeudados (PPME)",62.6266,4.42163362978648,4.01379,4.42163362978648,309415102
"Pakistán",NA,4.08300018310547,NA,4.08300018310547,72040845
"Palau",NA,NA,NA,NA,NA
"Panamá",95.41181,3.89400005340576,NA,3.89400005340576,2029802
"Papua Nueva Guinea",NA,2.42300009727478,1.9264,2.42300009727478,2618045
"Paraguay",94.0208,4.53399991989136,NA,4.53399991989136,3534912
"Pequeños Estados",86.20175,8.71725681803376,NA,8.71725681803376,18321443
"Perú",94.40827,3.39000010490417,3.71993,3.39000010490417,18346713
"Polinesia Francesa",NA,12.3140001296997,NA,12.3140001296997,116929
"Polonia",NA,3.84500002861023,NA,3.84500002861023,18391322
"Portugal",96.13759,6.99300003051758,NA,6.99300003051758,5267545
"posterior al dividendo demográfico",NA,5.28618862986169,NA,5.28618862986169,562023313
"previa al dividendo demográfico",62.64361,5.72582217969616,4.2483,5.72582217969616,330705014
"Puerto Rico",NA,9.19999980926514,NA,9.19999980926514,1061756
"Qatar",NA,0.109999999403954,NA,0.109999999403954,2085366
"Región Administrativa Especial de Macao, China",NA,1.96599996089935,NA,1.96599996089935,385783
"Reino Unido",NA,3.99600005149841,NA,3.99600005149841,34329233
"República Árabe Siria",NA,8.25699996948242,NA,8.25699996948242,5129679
"República Centroafricana",37.39582,3.66400003433228,NA,3.66400003433228,1871101
"República Checa",NA,2.24300003051758,NA,2.24300003051758,5453301
"República de Moldova",NA,2.9779999256134,5.51108,2.9779999256134,988570
"República Democrática Popular Lao",NA,0.640999972820282,NA,0.640999972820282,3732339
"República Dominicana",NA,5.73899984359741,NA,5.73899984359741,4917459
"República Eslovaca",NA,6.53599977493286,NA,6.53599977493286,2754200
"Ribera Occidental y Gaza",97.21861,26.2560005187988,NA,26.2560005187988,1214123
"Rumania",98.8445,4.18699979782104,NA,4.18699979782104,9054882
"Rwanda",73.21559,1.01699995994568,3.11334,1.01699995994568,6178259
"Saint Kitts y Nevis",NA,NA,NA,NA,NA
"Samoa",99.09577,8.3120002746582,NA,8.3120002746582,53053
"Samoa Americana",NA,NA,NA,NA,NA
"San Marino",99.91643,NA,NA,NA,NA
"San Vicente y las Granadinas",NA,18.878999710083,5.68122,18.878999710083,56243
"Santa Lucía",NA,20.878999710083,3.67959,20.878999710083,99309
"Santo Tomé y Príncipe",92.81664,13.1479997634888,5.14907,13.1479997634888,70431
"Senegal",NA,6.52699995040894,4.65201,6.52699995040894,4122004
"Serbia",NA,12.7329998016357,NA,12.7329998016357,3241884
"Seychelles",95.86771,NA,NA,NA,NA
"Sierra Leona",43.20633,4.41699981689453,7.13846,4.41699981689453,2614289
"Singapur",97.34486,4.01900005340576,NA,4.01900005340576,3493801
"Sint Maarten (Dutch part)",NA,NA,NA,NA,NA
"Sólo AIF",65.99904,4.36885035396888,4.03814,4.36885035396888,437023705
"Sólo BIRF",89.05044,5.69908228986858,NA,5.69908228986858,2194893148
"Somalia",NA,11.2799997329712,NA,11.2799997329712,3797583
"Sri Lanka",91.70982,4.11899995803833,2.11189,4.11899995803833,8893806
"Sudáfrica",NA,26.9200000762939,6.15899,26.9200000762939,22947458
"Sudán",60.69718,16.8999996185303,NA,16.8999996185303,12055376
"Sudán del Sur",34.52276,12.2250003814697,NA,12.2250003814697,4621451
"Suecia",NA,6.34600019454956,NA,6.34600019454956,5411383
"Suiza",NA,4.71299982070923,NA,4.71299982070923,4953967
"Suriname",94.38327,6.99399995803833,NA,6.99399995803833,214906
"Tailandia",93.76776,0.765999972820282,NA,0.765999972820282,38907795
"Tanzanía",NA,1.99000000953674,3.69644,1.99000000953674,26304005
"Tayikistán",NA,11.1330003738403,NA,11.1330003738403,2412933
"Timor-Leste",68.06683,4.47900009155273,4.12844,4.47900009155273,531648
"Togo",NA,2.0789999961853,5.42885,2.0789999961853,3596555
"Tonga",99.41437,1.05200004577637,NA,1.05200004577637,39833
"total de la AIF",66.35453,4.67186828431238,4.03814,4.67186828431238,629769373
"Trinidad y Tobago",NA,2.5,NA,2.5,667593
"Túnez",NA,15.4589996337891,NA,15.4589996337891,4061682
"Turkmenistán",NA,3.79999995231628,NA,3.79999995231628,2614576
"Turquía",NA,10.8900003433228,NA,10.8900003433228,32826049
"Tuvalu",NA,NA,NA,NA,NA
"Ucrania",NA,8.79899978637695,NA,8.79899978637695,20432109
"Uganda",76.5275,1.74899995326996,2.52076,1.74899995326996,15935453
"Unión Europea",NA,7.26938482990298,NA,7.26938482990298,216484704
"Uruguay",98.70386,8.33600044250488,NA,8.33600044250488,1749881
"Uzbekistán",99.99289,5.73600006103516,NA,5.73600006103516,15289417
"Vanuatu",87.50631,4.36800003051758,NA,4.36800003051758,125122
"Venezuela",NA,7.21700000762939,NA,7.21700000762939,12554309
"Viet Nam",95.00038,1.99300003051758,4.17277,1.99300003051758,56915235
"Yemen, Rep. del",NA,13.0019998550415,NA,13.0019998550415,6545429
"Zambia",86.74796,11.5,4.66738,11.5,7134980
"Zimbabwe",NA,5.08699989318848,4.60449,5.08699989318848,6907202
"Zona del Euro",NA,8.18786216591896,NA,8.18786216591896,165304840
